GEOID,medianincome_2000
39049000110,59614.34218
39049000120,63660.60606
39049000210,73323.17416
39049000220,79024.10225
39049000310,40877.26953
39049000320,40299.81291
39049000330,35418.30855
39049000410,48218.52446
39049000420,57658.11075
39049000500,48487.53155
39049000600,37569.86954
39049000710,31945.06531
39049000720,34422.69373
39049000730,37928.34699
39049000810,37599.72477
39049000820,37992.01711
39049000910,36279.61165
39049000920,29683.76906
39049001000,30703.67126
39049001110,20794.17647
39049001121,32969.15629
39049001122,32969.15629
39049001200,23782.23235
39049001300,20560.48246
39049001400,40141.02142
39049001500,26704.53988
39049001600,29094.37653
39049001700,23802.3622
39049001810,18449.51974
39049001820,45671.84392
39049001901,43518.09992
39049001902,44549.21239
39049002000,60439.66942
39049002100,45944.59078
39049002200,40255.96556
39049002300,33312.96596
39049002510,38801.09718
39049002520,35159.16723
39049002600,29420.31043
39049002710,24069.84467
39049002730,33579.7619
39049002740,70021.94175
39049002750,34082.62411
39049002760,39319.81595
39049002770,33800.31881
39049002780,64099.81635
39049002800,29876.86464
39049002900,15767.10635
39049003000,30183.90411
39049003200,34973.8193
39049003600,22518.0602
39049003700,35327.77156
39049003800,39020.17467
39049004000,26111.68428
39049004200,13750.76628
39049004300,41622.56978
39049004500,36456.91598
39049004610,49820.16645
39049004620,37258.75128
39049004700,34363.69393
39049004810,43741.02349
39049004820,35794.51277
39049004900,34106.20633
39049005000,26097.52828
39049005100,22007.8125
39049005200,60665.27488
39049005300,35126.64601
39049005410,25450.18785
39049005420,31827.60943
39049005500,30874.24242
39049005610,32861.5099
39049005620,37884.89209
39049005700,66655.5496
39049005810,60178.59699
39049005820,35913.29588
39049005900,49912.76978
39049006000,25863.30561
39049006100,25020.23173
39049006220,78539.28013
39049006230,67969.71311
39049006236,141059.0509
39049006310,102058.0828
39049006321,115624.3113
39049006323,81091.46184
39049006330,65718.30641
39049006340,140630.2642
39049006351,62718.8124
39049006352,37008.73288
39049006353,47364.8361
39049006371,64816.10811
39049006372,54728.47486
39049006383,68080.29557
39049006384,66790.64171
39049006386,60338.85562
39049006387,71308.34028
39049006391,128887.741
39049006392,143327.0456
39049006393,84987.79568
39049006394,84987.79568
39049006395,62928.76888
39049006396,62928.76888
39049006410,114003.745
39049006430,77667.12914
39049006500,130955.6561
39049006600,95623.80335
39049006710,64491.09477
39049006721,89055.8067
39049006722,69837.57372
39049006810,71378.69885
39049006821,33515.07409
39049006822,58681.77966
39049006910,98976.43411
39049006921,43286.50976
39049006923,53228.97527
39049006924,46422.72222
39049006931,43200.31822
39049006932,59423.99103
39049006933,33451.939
39049006942,42880.39927
39049006943,51404.32802
39049006944,63724.9863
39049006945,38042.83388
39049006950,105559.4682
39049006990,64202.74412
39049007010,48735.36258
39049007020,63053.88181
39049007041,72879.66924
39049007043,72879.66924
39049007044,72879.66924
39049007047,59669.8374
39049007048,59669.8374
39049007112,61354.06313
39049007113,50181.40762
39049007114,51462.65622
39049007115,48586.85637
39049007120,55273.66629
39049007132,72050.7807
39049007193,87881.02767
39049007194,82077.68173
39049007198,67083.4631
39049007199,57262.58589
39049007201,122298.6737
39049007202,57264.08451
39049007203,122298.6737
39049007205,122298.6737
39049007207,122298.6737
39049007209,122298.6737
39049007210,122298.6737
39049007393,109419.5568
39049007394,109419.5568
39049007395,66381.97324
39049007396,66381.97324
39049007424,45007.40189
39049007425,55178.2194
39049007426,65512.49871
39049007427,78496.68934
39049007492,93656.94084
39049007494,70272.90992
39049007511,36315.81921
39049007512,37800.84615
39049007520,32197.70723
39049007531,36786.06061
39049007532,30194.69613
39049007533,39659.90923
39049007534,32204.64371
39049007550,54546.63244
39049007551,32102.40453
39049007710,34516.89153
39049007721,32623.62919
39049007722,38559.8975
39049007730,43626.45306
39049007740,50270.78916
39049007811,57030.93126
39049007812,53558.81148
39049007820,26155.89336
39049007830,36192.94049
39049007921,62982.77541
39049007922,85180.84112
39049007931,60412.10356
39049007933,66035.9678
39049007941,59358.41924
39049007951,93450.41518
39049007952,84210.15956
39049007953,55108.77909
39049007954,55108.77909
39049008000,80543.61918
39049008110,38291.45169
39049008120,38340.18568
39049008132,51743.24429
39049008141,64110.92623
39049008142,63969.34353
39049008161,46547.63258
39049008162,54613.21453
39049008163,42865.65988
39049008164,42865.65988
39049008210,38676.80462
39049008230,31693.2726
39049008241,36087.74016
39049008242,57101.99025
39049008311,35324.7133
39049008312,36551.69539
39049008321,45168.6948
39049008322,40138.48731
39049008330,43181.78344
39049008340,41591.80151
39049008350,37743.92228
39049008360,56055.98555
39049008370,57553.36658
39049008380,56294.99621
39049008400,73252.63662
39049008500,52523.82812
39049008710,38402.57092
39049008720,39491.63103
39049008730,32184.80326
39049008811,43096.0817
39049008812,46897.61092
39049008813,40487.91802
39049008821,39309.61015
39049008822,38065.27778
39049008825,50406.58791
39049008900,58483.0249
39049009000,173253.5855
39049009100,95267.56757
39049009210,31643.38504
39049009220,36724.71665
39049009230,37131.82461
39049009240,41272.8673
39049009250,42050.96277
39049009311,49515.63561
39049009312,44866.85045
39049009321,47342.00237
39049009322,52256.62689
39049009323,37164.24323
39049009325,31484.14465
39049009326,27872.86486
39049009331,30432.09877
39049009332,56369.96528
39049009333,41768.55159
39049009334,45099.14089
39049009336,42543.61171
39049009337,38410.45918
39049009340,36501.97941
39049009350,50990.94879
39049009361,78714.92618
39049009362,63732.13776
39049009371,41102.27975
39049009372,54562.30492
39049009373,49746.81658
39049009374,52730.63973
39049009381,46131.12776
39049009382,48694.65361
39049009383,52383.30189
39049009384,47418.97266
39049009385,62822.13633
39049009386,43594.2005
39049009390,72489.16256
39049009410,49824.50518
39049009420,51610.26057
39049009430,47731.05209
39049009440,46752.91083
39049009450,62337.60114
39049009495,48000.64118
39049009497,58758.47569
39049009520,46804.2502
39049009590,50387.14369
39049009600,43776.14471
39049009711,46554.1762
39049009712,47540.92559
39049009720,54041.68052
39049009740,78825.09158
39049009751,86767.169
39049009752,68566.13256
39049009800,73275.21603
39049009900,41407.24095
39049010000,68955.01689
39049010100,32248.61026
39049010200,48058.1337
39049010300,52773.69721
39049010400,111846.8902
39049010500,108238.6676
39049010601,77192.71078
39049010602,77192.71078
39049010700,32636.50794
39049980000,9365.625
